Temps;Déplacement;Déformation 1;Force
(s);(mm);(%);(kN)
"41,6000";"1,3300";"0,0539";"11,8070"
"41,7000";"1,3333";"0,0576";"11,8270"
"41,8000";"1,3365";"0,0612";"11,8435"
"41,9000";"1,3397";"0,0649";"11,8605"
"42,0000";"1,3429";"0,0686";"11,8775"
"42,1000";"1,3461";"0,0723";"11,8954"
"42,2000";"1,3493";"0,0760";"11,9111"
"42,3000";"1,3524";"0,0797";"11,9265"
"42,4000";"1,3556";"0,0834";"11,9437"
"42,5000";"1,3589";"0,0871";"11,9626"
"42,6000";"1,3620";"0,0908";"11,9770"
"42,7000";"1,3653";"0,0947";"11,9954"
"42,8000";"1,3685";"0,0986";"12,0131"
"42,9000";"1,3717";"0,1024";"12,0277"
"43,0000";"1,3749";"0,1062";"12,0434"
"43,1000";"1,3781";"0,1102";"12,0600"
"43,2000";"1,3813";"0,1139";"12,0755"
"43,3000";"1,3844";"0,1177";"12,0902"
"43,4000";"1,3876";"0,1218";"12,1069"
"43,5000";"1,3908";"0,1257";"12,1241"
"43,6000";"1,3941";"0,1297";"12,1407"
"43,7000";"1,3973";"0,1337";"12,1555"
"43,8000";"1,4005";"0,1378";"12,1726"
"43,9000";"1,4037";"0,1418";"12,1882"
"44,0000";"1,4068";"0,1458";"12,2008"
"44,1000";"1,4100";"0,1498";"12,2166"
"44,2000";"1,4133";"0,1540";"12,2336"
"44,3000";"1,4164";"0,1581";"12,2474"
"44,4000";"1,4196";"0,1621";"12,2627"
"44,5000";"1,4229";"0,1663";"12,2796"
"44,6000";"1,4261";"0,1706";"12,2958"
"44,7000";"1,4293";"0,1747";"12,3084"
"44,8000";"1,4325";"0,1790";"12,3237"
"44,9000";"1,4357";"0,1832";"12,3387"
"45,0000";"1,4389";"0,1875";"12,3541"
"45,1000";"1,4420";"0,1916";"12,3661"
"45,2000";"1,4452";"0,1960";"12,3828"
"45,3000";"1,4485";"0,2003";"12,3981"
"45,4000";"1,4516";"0,2047";"12,4111"
"45,5000";"1,4549";"0,2091";"12,4259"
"45,6000";"1,4582";"0,2135";"12,4423"
"45,7000";"1,4613";"0,2178";"12,4542"
"45,8000";"1,4645";"0,2221";"12,4682"
"45,9000";"1,4677";"0,2266";"12,4820"
"46,0000";"1,4709";"0,2311";"12,4966"
"46,1000";"1,4740";"0,2355";"12,5083"
"46,2000";"1,4772";"0,2399";"12,5221"
"46,3000";"1,4804";"0,2445";"12,5369"
"46,4000";"1,4837";"0,2490";"12,5523"
"46,5000";"1,4869";"0,2536";"12,5643"
"46,6000";"1,4901";"0,2582";"12,5789"
"46,7000";"1,4933";"0,2628";"12,5931"
"46,8000";"1,4964";"0,2673";"12,6035"
"46,9000";"1,4996";"0,2718";"12,6162"
"47,0000";"1,5029";"0,2765";"12,6300"
"47,1000";"1,5060";"0,2811";"12,6423"
"47,2000";"1,5092";"0,2858";"12,6554"
"47,3000";"1,5125";"0,2905";"12,6704"
"47,4000";"1,5157";"0,2953";"12,6839"
"47,5000";"1,5189";"0,3001";"12,6955"
"47,6000";"1,5221";"0,3048";"12,7073"
"47,7000";"1,5253";"0,3096";"12,7212"
"47,8000";"1,5285";"0,3143";"12,7323"
"47,9000";"1,5316";"0,3191";"12,7429"
"48,0000";"1,5348";"0,3239";"12,7559"
"48,1000";"1,5381";"0,3288";"12,7717"
"48,2000";"1,5412";"0,3336";"12,7814"
"48,3000";"1,5445";"0,3386";"12,7944"
"48,4000";"1,5477";"0,3435";"12,8079"
"48,5000";"1,5509";"0,3484";"12,8190"
"48,6000";"1,5541";"0,3533";"12,8290"
"48,7000";"1,5573";"0,3582";"12,8416"
"48,8000";"1,5605";"0,3632";"12,8539"
"48,9000";"1,5636";"0,3681";"12,8650"
"49,0000";"1,5668";"0,3731";"12,8755"
"49,1000";"1,5701";"0,3782";"12,8895"
"49,2000";"1,5733";"0,3833";"12,9016"
"49,3000";"1,5765";"0,3883";"12,9120"
"49,4000";"1,5797";"0,3934";"12,9235"
"49,5000";"1,5830";"0,3986";"12,9369"
"49,6000";"1,5860";"0,4036";"12,9445"
"49,7000";"1,5892";"0,4087";"12,9567"
"49,8000";"1,5924";"0,4139";"12,9677"
"49,9000";"1,5956";"0,4191";"12,9787"
"50,0000";"1,5988";"0,4243";"12,9886"
"50,1000";"1,6021";"0,4295";"13,0011"
"50,2000";"1,6053";"0,4347";"13,0128"
"50,3000";"1,6085";"0,4399";"13,0232"
"50,4000";"1,6117";"0,4451";"13,0332"
"50,5000";"1,6149";"0,4505";"13,0445"
"50,6000";"1,6181";"0,4558";"13,0549"
"50,7000";"1,6212";"0,4610";"13,0629"
"50,8000";"1,6244";"0,4663";"13,0741"
"50,9000";"1,6277";"0,4717";"13,0865"
"51,0000";"1,6308";"0,4770";"13,0949"
"51,1000";"1,6341";"0,4824";"13,1060"
"51,2000";"1,6373";"0,4879";"13,1180"
"51,3000";"1,6405";"0,4933";"13,1262"
"51,4000";"1,6437";"0,4986";"13,1353"
"51,5000";"1,6468";"0,5040";"13,1442"
"51,6000";"1,6501";"0,5096";"13,1561"
"51,7000";"1,6532";"0,5150";"13,1641"
"51,8000";"1,6564";"0,5205";"13,1734"
"51,9000";"1,6596";"0,5260";"13,1845"
"52,0000";"1,6629";"0,5315";"13,1966"
"52,1000";"1,6660";"0,5369";"13,2034"
"52,2000";"1,6693";"0,5426";"13,2138"
"52,3000";"1,6725";"0,5481";"13,2244"
"52,4000";"1,6757";"0,5536";"13,2320"
"52,5000";"1,6788";"0,5591";"13,2402"
"52,6000";"1,6821";"0,5648";"13,2510"
"52,7000";"1,6852";"0,5704";"13,2599"
"52,8000";"1,6884";"0,5760";"13,2692"
"52,9000";"1,6916";"0,5816";"13,2789"
"53,0000";"1,6949";"0,5874";"13,2904"
"53,1000";"1,6981";"0,5931";"13,2983"
"53,2000";"1,7013";"0,5989";"13,3066"
"53,3000";"1,7045";"0,6046";"13,3163"
"53,4000";"1,7077";"0,6103";"13,3261"
"53,5000";"1,7108";"0,6160";"13,3318"
"53,6000";"1,7140";"0,6218";"13,3411"
"53,7000";"1,7173";"0,6276";"13,3520"
